Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
subway,text,4295,58.00%,1.21%,57.53%,24.87%,0.33%,24.54%,0.713619,0.015858,4.03%
burger,tag,3250,48.62%,4.86%,46.58%,19.38%,0.92%,18.46%,4.210777,0.079239,3.11%
burger,text,1942,30.07%,1.91%,29.04%,10.71%,0.31%,10.40%,3.903846,0.043269,3.71%
mcdonalds,text,1806,49.67%,0.78%,49.22%,15.78%,0.00%,15.78%,0.217544,0,2.82%
picnic,text,1452,54.75%,2.20%,53.65%,25.55%,0.21%,25.34%,0.887399,0.002681,2.27%
burger king,text,1423,60.15%,1.41%,59.66%,20.80%,0.21%,20.59%,0.787879,0.016835,3.37%
taco bell,text,1305,54.48%,0.69%,54.18%,20.38%,0.00%,20.38%,0.274436,0,2.84%
hesburger,text,1283,16.99%,0.31%,16.91%,3.51%,0.00%,3.51%,2.422222,0,3.04%
lie mi,text,1146,51.22%,5.24%,46.51%,20.16%,0.70%,19.46%,0.588745,0.025974,1.57%
pizza hut,text,1144,59.53%,1.75%,58.13%,17.13%,0.09%,17.05%,0.423469,0,2.01%
boneless,text,1139,58.74%,2.81%,57.42%,17.56%,0.18%,17.38%,1.53,0,2.72%
nepalese,tag,1125,51.91%,1.69%,51.47%,19.38%,0.09%,19.29%,4.388128,0.054795,2.58%
pharmacy,text,1109,52.84%,1.71%,52.03%,11.72%,0.36%,11.36%,0.572519,0.030534,5.86%
noodle,text,1062,46.61%,1.79%,46.52%,15.07%,0.09%,14.97%,1.33125,0.00625,2.17%
king kebab,text,1061,53.82%,1.23%,53.06%,24.69%,0.38%,24.41%,0.988593,0.030418,1.89%
friends & burgers,text,1052,50.57%,1.05%,49.90%,15.97%,0.00%,15.97%,0.666667,0,2.57%
chinese,tag,978,58.69%,4.29%,57.16%,17.28%,0.20%,17.08%,4.236686,0.011834,2.76%
kotkot,text,954,52.94%,2.41%,51.47%,16.14%,0.21%,15.93%,0.123377,0.019481,2.94%
arnolds,text,784,63.90%,1.28%,63.52%,15.43%,0.00%,15.43%,0.297521,0,2.17%
k market,text,714,58.12%,0.56%,57.98%,17.09%,0.00%,17.09%,1.991803,0,3.22%
naughty,text,671,56.48%,2.09%,55.74%,13.86%,0.00%,13.86%,0.344086,0,1.94%
green hippo,text,599,60.93%,2.84%,59.43%,18.36%,0.67%,17.70%,0.490909,0.027273,2.67%
levain,text,590,54.24%,1.53%,53.56%,15.93%,0.00%,15.93%,0.968085,0,0.85%
espresso,text,590,55.59%,0.68%,55.25%,13.05%,0.34%,12.71%,1.233766,0.012987,3.22%
eat poke,text,564,55.50%,1.42%,55.14%,22.70%,0.18%,22.52%,0.271318,0,1.60%
subway,recent_searches,542,57.75%,1.85%,57.01%,19.00%,0.92%,18.08%,0.567308,0.038462,6.64%
chicken,text,541,39.19%,2.03%,38.26%,8.87%,0.00%,8.87%,3.604167,0,3.51%
healthy,tag,529,50.47%,5.48%,48.20%,8.88%,0.38%,8.70%,4.270833,0.041667,1.32%
noodle story,text,507,57.99%,0.59%,57.40%,18.34%,0.20%,18.15%,0.150538,0,3.55%
indian,tag,495,49.70%,4.65%,47.68%,13.13%,1.01%,12.32%,2.287879,0.121212,4.44%
chitir,text,465,65.38%,2.15%,64.73%,21.08%,0.43%,20.65%,0.102041,0,3.23%
mexican,tag,453,50.77%,1.77%,49.89%,13.47%,0.22%,13.25%,2.327869,0,2.87%
levant,text,450,58.22%,0.44%,58.00%,18.67%,0.22%,18.44%,0.178571,0,2.67%
sushibar,text,444,50.23%,0.23%,50.23%,23.42%,0.00%,23.42%,1.811321,0,0.45%
poke bowl,tag,439,50.57%,7.52%,46.92%,12.98%,1.59%,11.39%,2.807018,0.263158,0.68%
vapiano,text,425,64.94%,1.41%,64.24%,11.06%,0.00%,11.06%,0.06383,0,3.06%
lunch,text,412,53.16%,8.50%,49.76%,8.01%,0.97%,7.04%,9.575758,1.424242,1.46%
hesbur,text,399,8.77%,0.25%,8.77%,0.75%,0.00%,0.75%,2.666667,0,5.26%
noodle,tag,396,48.48%,6.31%,45.96%,11.36%,0.51%,10.86%,1.733333,0.155556,2.02%
kotipizza,text,389,9.77%,0.00%,9.77%,2.06%,0.00%,2.06%,4.625,0,7.46%
k-market,text,378,50.00%,0.26%,50.00%,17.46%,0.00%,17.46%,1.712121,0,2.65%
espresso house,text,371,66.58%,0.81%,66.31%,17.25%,0.27%,16.98%,0.969697,0,1.89%
wolt market,text,371,56.33%,0.27%,56.06%,16.98%,0.00%,16.98%,0.079365,0,5.39%
mcdonald,text,355,41.41%,0.28%,41.13%,15.77%,0.00%,15.77%,0.089286,0,3.94%
sandwich,tag,354,51.69%,6.21%,49.44%,14.69%,1.13%,13.56%,1.773585,0.188679,5.65%
breakfast,text,353,56.66%,15.58%,50.42%,14.73%,3.68%,11.05%,3.603774,1.113208,0.28%
kokoro,text,351,61.25%,1.99%,60.97%,20.51%,0.57%,19.94%,0,0,1.71%
skiffer,text,349,55.30%,0.57%,55.01%,28.08%,0.00%,28.08%,0.653061,0,2.29%
tacobell,text,341,56.31%,0.00%,56.31%,18.77%,0.00%,18.77%,0.703125,0,3.52%
momotoko,text,338,57.40%,0.59%,57.10%,19.82%,0.30%,19.53%,0.074627,0,2.66%
mcdona,text,335,37.31%,0.30%,37.31%,16.12%,0.00%,16.12%,0.166667,0,2.99%
pancho,text,332,67.47%,0.90%,67.17%,16.27%,0.00%,16.27%,0.148148,0,5.72%
mc donalds,text,331,51.36%,0.00%,51.36%,21.75%,0.00%,21.75%,0.150685,0,4.83%
mashiro,text,318,61.01%,0.63%,60.69%,20.44%,0.00%,20.44%,0.030769,0,3.14%
chicken joint,text,310,54.84%,2.58%,54.19%,16.77%,0.97%,15.81%,0.942308,0,1.61%
verkkokauppa,text,309,4.21%,0.00%,4.21%,0.00%,0.00%,0.00%,,,5.83%
social,text,302,55.30%,1.32%,55.30%,16.56%,0.00%,16.56%,0,0,5.30%
salad,text,297,41.75%,13.80%,31.99%,9.43%,2.69%,6.73%,2.678571,0.714286,1.68%
mcdonal,text,295,41.36%,1.02%,40.34%,14.24%,0.00%,14.24%,0.238095,0,3.39%
bastard,text,285,63.51%,1.05%,63.16%,15.44%,0.35%,15.09%,0,0,3.86%
pretty,text,284,58.10%,1.41%,57.75%,15.14%,0.00%,15.14%,0,0,2.11%
market,text,284,54.93%,0.00%,54.93%,21.48%,0.00%,21.48%,2.016393,0,4.23%
pronto,text,257,64.59%,0.39%,64.59%,22.18%,0.00%,22.18%,0.421053,0,2.72%
tortilla,text,257,43.19%,0.78%,43.19%,18.68%,0.00%,18.68%,0.729167,0,2.33%
